ID,Wordform_ID,Stem_ID,Index
ajpachike-undergrowth-prop-deriv-stem,ajpachike-undergrowth-prop,ajpachike-undergrowth-prop,"0,1"
ajpachike-undergrowth-prop-0,ajpachike-undergrowth-prop,ajpachi-undergrowth,0
ajyuru-tucuma-palm-pert-0,ajyuru-tucuma-palm-pert,ajyu-tucuma-palm,0
amuru-ripeness-pert-0,amuru-ripeness-pert,amu-ripeness,0
aniki-who-0,aniki-who,aniki-who-1,0
apiri-ripeness-pert-0,apiri-ripeness-pert,api-ripeness,0
apo-later-0,apo-later,apo-later,0
arajmate-dangerous-0,arajmate-dangerous,arajmate-dangerous,0
arokate-difficult-0,arokate-difficult,arokate-difficult,0
asakontompene-four-0,asakontompene-four,asakontompene-four,0
asake-two-0,asake-two,asake-two,0
asane-2-mother-pert-1,asane-2-mother-pert,sane-mother,1
asereke-dry-cough-prop-deriv-stem,asereke-dry-cough-prop,asereke-dry-cough-prop,"0,1"
asereke-dry-cough-prop-0,asereke-dry-cough-prop,asere-dry-cough,0
atiri-plot-of-cultivated-land-pert-0,atiri-plot-of-cultivated-land-pert,ati-plot-of-cultivated-land,0
atirijpe-plot-of-cultivated-land-pert-pst-0,atirijpe-plot-of-cultivated-land-pert-pst,ati-plot-of-cultivated-land,0
ayawori-2-lk-uncle-pert-2,ayawori-2-lk-uncle-pert,awo-uncle,2
chijchipuru-body-movement-pert-0,chijchipuru-body-movement-pert,chijchipu-body-movement,0
ejne-1-2pro-0,ejne-1-2pro,ejne-1-2pro,0
enijpete-one-0,enijpete-one,enijpete-one,0
enirono-now-nmlz-deriv-stem,enirono-now-nmlz,enirono-now-nmlz,"0,1"
enirono-now-nmlz-0,enirono-now-nmlz,eniro-now,0
ente-here-loc-0,ente-here-loc,ente-here-loc,0
ewine-here-all-0,ewine-here-all,ewine-here-all,0
ijmokani-cook-agtnmlz-deriv-stem,ijmokani-cook-agtnmlz,ijmokani-cook-agtnmlz,"0,1"
ijmokani-cook-agtnmlz-0,ijmokani-cook-agtnmlz,ijmoka-cook,0
ijtari-3-foot-pert-1,ijtari-3-foot-pert,jta-foot,1
inawe-have-0,inawe-have,inawe-have,0
intipijke-small-0,intipijke-small,intipijke-small,0
irejpe-then-0,irejpe-then,irejpe-then,0
kamparake-big-prop-deriv-stem,kamparake-big-prop,kamparake-big-prop,"0,1"
kamparake-big-prop-0,kamparake-big-prop,kampara-big,0
karasake-white-0,karasake-white,karasake-white,0
kasori-fat-pert-0,kasori-fat-pert,kaso-fat,0
kawe-high-0,kawe-high,kawe-high,0
kojpaye-at-night-0,kojpaye-at-night,kojpaye-at-night,0
kori-brassolis-sophorae-pert-0,kori-brassolis-sophorae-pert,ko-brassolis-sophorae,0
kururu-prochilodus-mariae-pert-0,kururu-prochilodus-mariae-pert,kuru-prochilodus-mariae,0
kuyari-tree-sp-pert-0,kuyari-tree-sp-pert,kuya-tree-sp,0
kemuru-pus-pert-0,kemuru-pus-pert,kemu-pus,0
kereke-old-prop-deriv-stem,kereke-old-prop,kereke-old-prop,"0,1"
kereke-old-prop-0,kereke-old-prop,kere-old,0
kerekemi-old-prop-nmlz-deriv-stem,kerekemi-old-prop-nmlz,kereke-old-prop,"0,1"
kerekemi-old-prop-nmlz-0,kerekemi-old-prop-nmlz,kere-old,0
keya-think-acnnmlz-0,keya-think-acnnmlz,keya-think,0
pe-ess-0,pe-ess,pe-ess,0
morone-hurting-0,morone-hurting,morone-hurting,0
mune-bulbous-0,mune-bulbous,mune-bulbous,0
mejki-dist-anim-0,mejki-dist-anim,mejki-dist-anim,0
mijna-there-all-0,mijna-there-all,mijna-there-all,0
najmo-grandmother-0,najmo-grandmother,najmo-grandmother,0
nakiri-thirst-pert-0,nakiri-thirst-pert,naki-thirst,0
nonokemi-earth-prop-nmlz-deriv-stem,nonokemi-earth-prop-nmlz,nonoke-earth-prop,"0,1"
